"section","thread","pairs","mean_ns","min_ns","max_ns"
"WAIT_OVERALL_V2","*",15,1396.400000,379,2578

"section","tid","thread","faults"
"PF_BY_THREAD",29163,"mmbench",138198
"PF_BY_THREAD",29166,"mmbench",132133
"PF_BY_THREAD",29165,"mmbench",131212
"PF_BY_THREAD",29161,"mmbench",129635
"PF_BY_THREAD",29159,"mmbench",129117
"PF_BY_THREAD",29160,"mmbench",128496
"PF_BY_THREAD",29162,"mmbench",124840
"PF_BY_THREAD",29164,"mmbench",100166
"PF_BY_THREAD",29151,"tracebox",1

"section","ts","tid","thread","event"
"MMAP_LOCK_DUMP",4782628200684,29163,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4782628203262,29163,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4782628213673,29163,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4782704132136,29163,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4782704154067,29163,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4782704155069,29163,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4782704174269,29163,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4782704797140,29163,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4782704799559,29163,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4782704808242,29163,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4782900707192,29162,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4782900708769,29162,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4782900716079,29162,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783005177937,29162,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4783005199592,29162,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4783005201010,29162,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783005218048,29162,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4783005347049,29162,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4783005347980,29162,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783005354750,29162,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4783189576582,29162,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4783189578027,29162,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783189585808,29162,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783285339486,29162,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4783285353750,29162,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4783285354532,29162,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783285365093,29162,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4783285436186,29162,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4783285436565,29162,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783285439877,29162,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4783459881820,29163,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4783459884115,29163,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783459895005,29163,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783554833714,29163,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4783554858884,29163,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4783554860122,29163,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783554878849,29163,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4783555258501,29163,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4783555259297,29163,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783555263794,29163,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4783754074181,29160,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4783754076075,29160,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783754084071,29160,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783850602153,29160,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4783850624712,29160,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4783850625368,29160,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783850645194,29160,"mmbench","mmap_lock_released"
"MMAP_LOCK_DUMP",4783850890398,29160,"mmbench","mmap_lock_start_locking"
"MMAP_LOCK_DUMP",4783850891934,29160,"mmbench","mmap_lock_acquire_returned"
"MMAP_LOCK_DUMP",4783850897634,29160,"mmbench","mmap_lock_released"
