# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 367K of event 'cpu-clock:k'
# Event count (approx.): 91929000000
#
# Overhead  Command          Shared Object      Symbol                                       
# ........  ...............  .................  .............................................
#
    24.28%  arena_stress     [kernel.kallsyms]  [k] __send_ipi_mask
    20.42%  swapper          [kernel.kallsyms]  [k] pv_native_safe_halt
    11.64%  arena_stress     [kernel.kallsyms]  [k] do_user_addr_fault
     8.33%  arena_stress     [kernel.kallsyms]  [k] smp_call_function_many_cond
     5.01%  arena_stress     [kernel.kallsyms]  [k] x2apic_send_IPI
     2.85%  arena_stress     [kernel.kallsyms]  [k] clear_page_erms
     2.55%  arena_stress     [kernel.kallsyms]  [k] rwsem_spin_on_owner
     2.35%  arena_stress     [kernel.kallsyms]  [k] xas_load
     1.87%  arena_stress     [kernel.kallsyms]  [k] corten_arena_lookup_get
     1.56%  arena_stress     [kernel.kallsyms]  [k] mutex_spin_on_owner
     1.42%  arena_stress     [kernel.kallsyms]  [k] osq_lock
     1.39%  arena_stress     [kernel.kallsyms]  [k] corten_arena_user_fault
     1.28%  arena_stress     [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.85%  arena_stress     [kernel.kallsyms]  [k] ___rmqueue_pcplist
     0.80%  arena_stress     [kernel.kallsyms]  [k] corten_arena_fill_upper
     0.80%  arena_stress     [kernel.kallsyms]  [k] mutex_lock
     0.72%  arena_stress     [kernel.kallsyms]  [k] corten_arena_zap_window
     0.68%  arena_stress     [kernel.kallsyms]  [k] __alloc_frozen_pages_noprof
     0.65%  arena_stress     [kernel.kallsyms]  [k] corten_txn_begin
     0.61%  arena_stress     [kernel.kallsyms]  [k] _raw_spin_lock
     0.59%  arena_stress     [kernel.kallsyms]  [k] corten_arena_fault_once.part.0
     0.53%  arena_stress     [kernel.kallsyms]  [k] __lruvec_stat_mod_folio
     0.52%  arena_stress     [kernel.kallsyms]  [k] count_memcg_events
     0.43%  arena_stress     [kernel.kallsyms]  [k] xas_start
     0.33%  arena_stress     [kernel.kallsyms]  [k] corten_txn_meta
     0.33%  arena_stress     [kernel.kallsyms]  [k] corten_txn_finish
     0.32%  arena_stress     [kernel.kallsyms]  [k] __pte_offset_map_lock
     0.31%  arena_stress     [kernel.kallsyms]  [k] mutex_unlock
     0.30%  arena_stress     [kernel.kallsyms]  [k] css_rstat_updated
     0.29%  arena_stress     [kernel.kallsyms]  [k] corten_ptdesc_get
     0.28%  arena_stress     [kernel.kallsyms]  [k] mod_memcg_lruvec_state
     0.23%  arena_stress     [kernel.kallsyms]  [k] __rcu_read_unlock
     0.23%  arena_stress     [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.22%  arena_stress     [kernel.kallsyms]  [k] __rcu_read_lock
     0.22%  arena_stress     [kernel.kallsyms]  [k] _raw_spin_trylock
     0.21%  arena_stress     [kernel.kallsyms]  [k] xa_load
     0.21%  arena_stress     [kernel.kallsyms]  [k] get_page_from_freelist
     0.20%  arena_stress     [kernel.kallsyms]  [k] corten_ptdesc_put
     0.20%  arena_stress     [kernel.kallsyms]  [k] _raw_read_lock_bh
     0.19%  arena_stress     [kernel.kallsyms]  [k] _raw_write_lock_bh
     0.19%  swapper          [kernel.kallsyms]  [k] handle_softirqs
     0.18%  arena_stress     [kernel.kallsyms]  [k] ___pte_offset_map
     0.18%  arena_stress     [kernel.kallsyms]  [k] _raw_read_unlock_bh
     0.17%  arena_stress     [kernel.kallsyms]  [k] corten_slot_index
     0.16%  arena_stress     [kernel.kallsyms]  [k] vma_alloc_folio_noprof
     0.16%  arena_stress     [kernel.kallsyms]  [k] corten_real_root
     0.13%  arena_stress     [kernel.kallsyms]  [k] its_return_thunk
     0.13%  arena_stress     [kernel.kallsyms]  [k] folio_add_new_anon_rmap
     0.12%  arena_stress     [kernel.kallsyms]  [k] try_charge_memcg
