# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 213K of event 'cpu-clock:k'
# Event count (approx.): 4271480000
#
# Overhead  Command          Shared Object      Symbol                                       
# ........  ...............  .................  .............................................
#
    21.46%  swapper          [kernel.kallsyms]  [k] pv_native_safe_halt
    19.65%  arena_stress     [kernel.kallsyms]  [k] __send_ipi_mask
    11.16%  arena_stress     [kernel.kallsyms]  [k] do_user_addr_fault
     4.91%  arena_stress     [kernel.kallsyms]  [k] smp_call_function_many_cond
     4.49%  arena_stress     [kernel.kallsyms]  [k] clear_page_erms
     3.76%  arena_stress     [kernel.kallsyms]  [k] rwsem_spin_on_owner
     3.11%  arena_stress     [kernel.kallsyms]  [k] x2apic_send_IPI
     2.28%  arena_stress     [kernel.kallsyms]  [k] corten_arena_lookup_get
     2.13%  arena_stress     [kernel.kallsyms]  [k] osq_lock
     1.79%  arena_stress     [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     1.49%  arena_stress     [kernel.kallsyms]  [k] mod_memcg_lruvec_state
     1.43%  arena_stress     [kernel.kallsyms]  [k] xas_load
     1.32%  arena_stress     [kernel.kallsyms]  [k] corten_arena_fill_upper
     1.27%  arena_stress     [kernel.kallsyms]  [k] __alloc_frozen_pages_noprof
     1.27%  arena_stress     [kernel.kallsyms]  [k] __lruvec_stat_mod_folio
     1.09%  arena_stress     [kernel.kallsyms]  [k] ___rmqueue_pcplist
     1.09%  arena_stress     [kernel.kallsyms]  [k] corten_arena_user_fault
     0.81%  arena_stress     [kernel.kallsyms]  [k] corten_arena_zap_window
     0.72%  arena_stress     [kernel.kallsyms]  [k] mutex_spin_on_owner
     0.65%  arena_stress     [kernel.kallsyms]  [k] corten_ptdesc_get
     0.61%  arena_stress     [kernel.kallsyms]  [k] mutex_lock
     0.54%  arena_stress     [kernel.kallsyms]  [k] corten_txn_meta
     0.53%  arena_stress     [kernel.kallsyms]  [k] handle_softirqs
     0.50%  arena_stress     [kernel.kallsyms]  [k] corten_txn_finish
     0.50%  arena_stress     [kernel.kallsyms]  [k] vma_alloc_folio_noprof


#
# (Tip: To trace calls using Processor Trace use perf record -e intel_pt// ... ; perf script --call-trace. Then use perf script --time A-B --insn-trace to look at region of interest.)
#
